Codigo,Norte,Este,pH,CE,TDS,Ca,K,Mg,Na,Cl,SO4,HCO3,CO3,Temporada,Subcuenca,Tipo_Fuente,Clase_Fuente,ratingcol,claseph,long,lat
1349119SW123,8286763,226319,7.68,129,63.5,7.2,3,3.1,6.6,0.4,12.9,35,NA,Avenida,Alto Camana,Agua superficial,Rio,green,Aceptable,-71.5507673,-15.4817432
1349119SW124,8286767,226425,8.57,147.6,72.83,16.8,1.7,5,6.5,0.4,9.5,70,1,Avenida,Alto Camana,Agua superficial,Quebrada,blue,Basico,-71.54977961,-15.48171845
1349119SW126,8283843,228928,8.85,192.9,94.56,15.98,4.23,6.067,10.64,1.027,25.81,76.4,NA,Estiaje,Alto Camana,Agua superficial,Rio,blue,Basico,-71.52678853,-15.50839549
1349119SW126,8283849,228932,8.38,124.7,61.62,9.4,3,3.6,6.8,0.4,12.8,50,NA,Avenida,Alto Camana,Agua superficial,Rio,green,Aceptable,-71.52675061,-15.50834172
1349119SW127,8284012,228747,8.97,199.6,98.34,19.81,1.82,5.731,8.9,0.753,8.197,92.1,9.7,Estiaje,Alto Camana,Agua superficial,Rio,blue,Basico,-71.52845595,-15.50684979
1349119SW127,8284024,228738,8.39,132.3,65.58,11.5,1.6,3.6,5.6,0.3,8.3,51,NA,Avenida,Alto Camana,Agua superficial,Rio,green,Aceptable,-71.52853847,-15.50674045
1349119SW131,8288560,228611,8.81,918.3,450.5,54.65,12.07,14.21,106.2,107.9,134.6,194.9,NA,Estiaje,Alto Camana,Agua superficial,Rio,blue,Basico,-71.52922312,-15.46575785
1349119SW131,8288578,228607,7.76,439.8,216.1,25.3,4.9,6.8,47.3,54.2,48.5,77,NA,Avenida,Alto Camana,Agua superficial,Rio,green,Aceptable,-71.52925839,-15.46559485
1349119SW132,8273588,180974,8.49,285.1,140.2,37.57,1.35,4.419,14.41,1.943,51.68,110.6,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,green,Aceptable,-71.97472044,-15.59542223
1349119SW132,8273611,180972,8.36,186.3,91.77,22.3,1.1,4,7.3,0.6,24.3,66,NA,Avenida,Alto Camana,Agua superficial,Quebrada,green,Aceptable,-71.97473608,-15.59521433
1349119SW136,8275208,184107,8.55,988.5,485.1,55.36,12.7,14.94,103.6,113.9,131.7,183.5,NA,Estiaje,Alto Camana,Agua superficial,Rio,blue,Basico,-71.94532638,-15.58118892
1349119SW136,8275399,183759,8.32,447.9,220,26.5,5.2,7.1,50.5,56.5,50.7,79,NA,Avenida,Alto Camana,Agua superficial,Rio,green,Aceptable,-71.94854336,-15.57942099
1349119SW137,8273388,178344,8.05,1042,511.3,56.7,15.38,14.48,127.7,148.9,144.4,182.8,NA,Estiaje,Alto Camana,Agua superficial,Rio,green,Aceptable,-71.99924576,-15.5968948
1349119SW137,8273385,178299,7.69,493.5,242.2,26.3,5.8,6.9,54.7,62.2,51.7,78,NA,Avenida,Alto Camana,Agua superficial,Rio,green,Aceptable,-71.99966534,-15.59691616
1349119SW139,8273930,178150,5,665.1,326.3,92.97,2.16,16.35,8.89,3.107,307.1,5.1,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,red,Acido,-72.00098176,-15.59197679
1349119SW139,8273922,821648,5.73,480.5,236.2,61.2,1.4,11,6.5,0.3,200.8,3,NA,Avenida,Alto Camana,Agua superficial,Rio,red,Acido,-66.00089882,-15.5920747
1349119SW140,8274449,195428,8.25,801.9,393.6,130.3,3.55,16.85,14.44,0.971,291.5,133,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,green,Aceptable,-71.83996068,-15.58942979
1349119SW140,8274453,195433,8.17,278.3,136.9,36.5,1.3,4.7,6.4,0.4,65.8,55,NA,Avenida,Alto Camana,Agua superficial,Quebrada,green,Aceptable,-71.8399136,-15.58939427
1349119SW142,8273799,196536,7.76,277.3,136.4,19.76,3.93,4.16,16.46,0.71,76.88,41.2,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,green,Aceptable,-71.82971874,-15.59543221
