Este [X];Norte [Y];Cota [Z];Ley de Cobre [%];Ley de Oro [ppm];Tipo de roca
190.4;263;64.6;0.65;0.091;2
155.9;583.3;18.3;0.65;1.007;2
228;128;85.1;0.66;0.958;2
130.4;233;71;0.66;0.853;2
160.4;308;35.3;0.66;0.015;2
287.4;152.1;119.2;0.66;3.321;2
164.1;232.6;73.4;0.66;0.57;2
307.2;233.8;121.8;0.66;8.426;2
159.2;368;24.2;0.66;0.001;2
159.3;35.9;96;0.66;0.137;2
100;188;12;0.66;0.201;2
250.2;292.9;96;0.66;0.349;2
238.7;175.7;120;0.66;0.041;2
128.7;117.2;47;0.66;0.206;2
195.3;352.5;107.8;0.66;0.867;2
160.4;278;131.1;0.67;0.134;2
131.4;533.7;121;0.67;2.534;2
219.5;560;132;0.67;7.324;2
220.7;127.6;72.3;0.67;3.636;2
157.3;523.2;119.8;0.67;3.11;2
160;188;24;0.67;0.079;2
100.3;8.3;96.4;0.67;0.216;2
246;264.8;126;0.67;0.158;2
189.7;262.8;72;0.67;0.258;2
220.4;338;11.1;0.67;0.42;2
160.4;38;107.4;0.67;5.131;2
201.9;592.8;128.1;0.68;0.723;2
160.4;308;71.3;0.68;0.168;2
155.5;278.9;60;0.68;0.159;2
160;188;72;0.68;5.356;2
159.3;38;96;0.68;0.52;2
159.3;38;108;0.68;2.704;2
159.3;35.9;108;0.68;1.607;2
100;308;72;0.68;0.266;2
100.8;82.9;71.8;0.68;0.465;2
102.3;38;84;0.68;0.35;2
102.3;38.2;84;0.68;0.227;2
250.1;353;120;0.68;0.089;2
190.4;203;72;0.68;0.862;2
190.4;203;84;0.68;3.402;2
139.3;2.5;29.5;0.68;0.06;2
212.5;112.6;45.4;0.69;0.827;2
91.5;532.4;48.6;0.69;0.114;2
228;128;73.1;0.69;4.957;2
67.7;472.4;64.6;0.69;0.067;2
246;264.8;133;0.69;0.398;2
273.3;308.7;96;0.69;0.553;2
220.7;127.6;132.3;0.69;2.995;2
160.5;82.9;60.2;0.69;1.289;2
100;158;72;0.69;0.167;2
190.5;563;108;0.69;2.323;2
190.4;353;120;0.69;1.072;2
190.4;233;48;0.69;0.307;2
237.8;111.7;19.8;0.69;0.355;2
220.4;368;132;0.7;0.211;2
220;308;20;0.7;1.75;2
160.5;398;83.5;0.7;1.507;2
160.4;203;84;0.7;5.411;2
310.7;173.4;72;0.7;1.038;2
190.4;233;120;0.7;2.288;2
160.4;278;71.1;0.7;0.195;2
220;248;27;0.71;0.614;2
218.3;188.2;11;0.71;4.784;2
190.4;263;71.1;0.71;0.25;2
121.7;273;70.3;0.71;0.963;2
280.6;368.2;108.1;0.71;0.015;2
205.7;97.9;60.3;0.71;0.957;2
102.3;38;108;0.71;0.39;2
102.3;38.2;108;0.71;0.592;2
190.4;503;95.8;0.71;4.523;2
70.7;37.8;83.9;0.71;0.817;2
70.5;563;133;0.71;0.049;2
215.9;232.8;29.2;0.71;1.693;2
229.4;112;28.4;0.72;0.48;2
279.5;278.3;132;0.72;0.369;2
280.4;218;131.7;0.72;2.852;2
220.7;127.6;84.3;0.72;0.491;2
160.5;218;72;0.72;0.613;2
100.4;308;108.1;0.72;0.034;2
100;308;60;0.72;0.232;2
250.2;292.9;108;0.72;0.312;2
250.4;113;132;0.72;0.857;2
70.4;23;108;0.72;0.341;2
189.9;29.5;97.4;0.72;2.988;2
189.9;29.5;109.4;0.72;0.376;2
345.3;157.8;83.3;0.73;1.473;2
185.6;353.2;38.4;0.73;0.171;2
90.7;532.1;24.6;0.73;0.751;2
160.4;203;72;0.73;1.258;2
100.4;458;132;0.73;0.178;2
310.7;173.4;84;0.73;0.702;2
250.2;292.9;39;0.73;0.051;2
252.2;232.2;84;0.73;2.605;2
70.4;503;108;0.73;0.622;2
