Ident;CRUISE;SHIP;YEAR;MONTH;DAY;HOUR;LONGITUDE;LATITUDE;Period;DEPTH;Domain;DC;SST;SALINITY;OXYGEN;WM;WMCode;Clorofila;fosfatos;nitratos;nitritos;silicatos;TOTAL.BIOMASS;ANCHOVIES;SARDINE;JACK.MACKEREL;MACKEREL;SAMASA;FALSO.VOLADOR;BAGRE;CAMOTILLO;VINCIGUERRIA;POTA;MUNIDA;TotalBsinMunida
4628;c0001-02;BIC-Olaya;2000;2;6;226;-77.90166666666667;-12.485;N;1702.59467355;A0;50.0163794686;22.3;34.95;5.37;AM;5;.472;.784320186022;.0497847388013;2.13055408062;2.50817598427;400;271;0;121;8;0;0;0;0;0;0;0;400
4498;c0001-02;BIC-Olaya;2000;2;7;21;-78.03666666666666;-11.99166666666667;N;1865.23062388;A0;46.5754112202;22.2;34.9;5.37;AM;5;1.17;1.08213044347;.0830656878013;.82195790183;2.47967450623;1169;1112;0;46;0;0;0;0;0;11;0;0;1169
2911;c0001-02;BIC-Olaya;2000;2;10;1330;-79.53166666666667;-10.26166666666667;D;2498.12053442;A0;78.5715814769;22.2;35.12;5.37;ASS;3;.194;.749658692431;.0450258033586;1.63583369618;3.76399155009;0;0;0;0;0;0;0;0;0;0;0;0;0
2638;c0001-02;BIC-Olaya;2000;2;11;226;-79.81;-10.13;N;3850.15840438;A0;90.1853734777;22.1;35.05;5.37;ASS;3;.204;.695472846037;.0419272019206;2.10850804292;3.81562701298;0;0;0;0;0;0;0;0;0;0;0;0;0
6816;c0001-02;BIC-SNP;2000;1;28;247;-75.27616666666667;-15.55183333333333;N;660.7283182;AT;10.2999616597;21.9;35.21;5.37;ASS;3;1.151;.8140734694;.280766565493;2.55348380192;7.45508339945;45;0;0;0;0;0;0;0;0;0;0;45;0
2329;c0001-02;BIC-SNP;2000;2;17;2233;-80.095;-6.834333333333333;N;26.34794991;AP;7.65598824965;21.9;34.9;5.37;ACF;1;8.158;2.27260089128;.228459963377;2.32133138905;15.2365562874;494;36;0;0;0;0;0;458;0;0;0;0;494
6876;c0001-02;BIC-SNP;2000;1;27;854;-75.1875;-15.60616666666667;D;717.121257838;AT;10.2559299876;21.8;35.21;5.37;ASS;3;1.278;.784914518848;.272889507728;2.69694349158;7.78129610116;80;0;0;0;0;0;0;0;0;0;0;80;0
3314;c0001-02;BIC-Olaya;2000;2;10;425;-79.12166666666667;-10.32333333333333;N;1520.74439036;A0;56.9816822684;21.8;35.11;5.37;ASS;3;.477;.843005333161;.051211729457;.642909604829;3.22129577783;835;0;0;0;0;0;0;0;0;666;169;0;835
4669;c0001-02;BIC-Olaya;2000;2;6;2211;-77.855;-11.985;N;948.414325961;A0;40.1703229406;21.7;34.88;5.37;ACF;1;1.98;1.16044419053;.0847114773191;.897130716644;3.1950772312;723;619;0;104;0;0;0;0;0;0;0;0;723
3344;c0001-02;BIC-Olaya;2000;2;10;400;-79.09166666666667;-10.31166666666667;N;1379.34425801;A0;55.0173993981;21.7;35.1;5.37;ASS;3;.52;.838635839752;.0474196809566;.646709549018;3.29213013651;402;0;0;0;0;0;0;0;0;321;81;0;402
3330;c0001-02;BIC-Olaya;2000;2;10;410;-79.105;-10.31833333333333;N;1448.43691514;A0;55.921010958;21.7;35.1;5.37;ASS;3;.499;.839761398174;.049293492074;.642576199055;3.25133702524;711;0;0;0;0;0;0;0;0;602;109;0;711
6982;c0001-02;BIC-SNP;2000;1;27;402;-74.99616666666667;-15.76433333333333;N;1058.16870723;A0;13.732149889;21.6;35.19;5.37;ASS;3;1.401;.715843319334;.164745974001;2.16455631574;8.31599513318;1;0;0;0;0;0;0;0;0;0;0;1;0
